subj,session,wave,dmcc,twinpair,is_mc_mi,is_mc_mi_cotwin,is_mi_mc,is_mi_mc_cotwin,is_mc_mi_retest,is_mc_mi_retest_cotwin,is_ispc_retest,is_ispc_retest_cotwin
DMCC9953810,proactive,wave1,2,7,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
107321,reactive,wave1,2,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
115825,reactive,wave1,2,17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
123117,reactive,wave1,2,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
130114,reactive,wave1,2,35,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
130518,reactive,wave1,2,23,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
132017,reactive,wave1,2,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
135730,reactive,wave1,2,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
138837,reactive,wave1,2,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
141422,reactive,wave1,2,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
150423,reactive,wave1,2,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
153429,reactive,wave1,2,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
155938,reactive,wave1,2,35,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
158136,reactive,wave1,2,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
161832,reactive,wave1,2,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
165032,reactive,wave1,2,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
171330,reactive,wave1,2,19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
173738,reactive,wave1,2,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
176845,reactive,wave1,2,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
178243,reactive,wave1,2,17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
178647,reactive,wave1,2,16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
178950,reactive,wave1,2,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
182436,reactive,wave1,2,16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
197449,reactive,wave1,2,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
203418,reactive,wave1,2,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
204319,reactive,wave1,2,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
233326,reactive,wave1,2,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
300618,reactive,wave1,2,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
317332,reactive,wave1,2,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
346945,reactive,wave1,2,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
393550,reactive,wave1,2,19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
432332,reactive,wave1,2,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
448347,reactive,wave1,2,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
562345,reactive,wave1,2,23,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
580650,reactive,wave1,2,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
594156,reactive,wave1,2,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
601127,reactive,wave1,2,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
672756,reactive,wave1,2,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
729254,reactive,wave1,2,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
765864,reactive,wave1,2,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
814649,reactive,wave1,2,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
843151,reactive,wave1,2,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
849971,reactive,wave1,2,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
873968,reactive,wave1,2,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
877168,reactive,wave1,2,18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
882161,reactive,wave1,2,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
DMCC0472647,reactive,wave1,2,31,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DMCC1328342,reactive,wave1,2,29,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
DMCC1596165,reactive,wave1,2,11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
DMCC1624043,reactive,wave1,2,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DMCC1971064,reactive,wave1,2,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DMCC2442951,reactive,wave1,2,28,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
DMCC2560452,reactive,wave1,2,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DMCC2609759,reactive,wave1,2,30,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
DMCC2803654,reactive,wave1,2,21,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
DMCC2834766,reactive,wave1,2,20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
DMCC3062542,reactive,wave1,2,34,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DMCC3091953,reactive,wave1,2,14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
DMCC3876181,reactive,wave1,2,31,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
DMCC3963378,reactive,wave1,2,30,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DMCC4191255,reactive,wave1,2,22,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
